GISJOIN,YEAR,STATE,TRACTA,race_white,race_black,race_american_indian_eskimo_aleut,race_asian_pacific_islander,race_other,housing_occupied,housing_vacant,year_built_1989_to_1990,year_built_1985_to_1988,year_built_1980_to_1984,year_built_1970_to_1979,year_built_1960_to_1969,year_built_1950_to_1959,year_built_1940_to_1949,year_built_1939_or_earlier,total_above_poverty,total_below_poverty,total_poverty_determined,poverty_rate,total_housing_units,occupancy_rate,avg_home_value_1990,2019-23_value,home_value_ratio_2019_23_to_1990
G06000104053,1990,California,4053,1832,1689,23,1716,211,2923,267,0,69,137,437,631,474,387,1055,4363,1074,5437,0.19753540555453375,3190,0.9163009404388714,248694.02985074627,702600,2.8251582895723932
G06000104054,1990,California,4054,1167,2746,50,3001,865,2635,215,0,35,80,344,676,368,366,981,5316,2327,7643,0.3044615988486197,2850,0.9245614035087719,132049.76303317535,629100,4.764113055181697
G06000104054,1990,California,4054,1167,2746,50,3001,865,2635,215,0,35,80,344,676,368,366,981,5316,2327,7643,0.3044615988486197,2850,0.9245614035087719,132049.76303317535,965900,7.3146666666666675
G06000104055,1990,California,4055,641,1374,11,1855,187,1464,123,0,22,68,32,244,176,261,784,3045,1016,4061,0.250184683575474,1587,0.9224952741020794,154921.875,822600,5.309773071104387
G06000104056,1990,California,4056,666,1329,47,1447,91,1335,123,17,0,10,30,79,141,384,797,2754,815,3569,0.22835528159148222,1458,0.9156378600823045,144166.66666666666,852400,5.912601156069365
G06000104057,1990,California,4057,554,1814,30,790,242,1273,104,0,16,41,34,182,168,224,712,2640,742,3382,0.21939680662329983,1377,0.9244734931009441,125797.10144927536,816700,6.492200460829493
G06000104058,1990,California,4058,379,1917,10,1653,408,1231,113,40,77,30,96,200,183,203,515,3141,1210,4351,0.27809698919788556,1344,0.9159226190476191,118041.47465437787,745100,6.312188170993559
G06000104059,1990,California,4059,987,2067,24,2751,1473,1892,149,34,93,60,52,429,225,306,842,4847,2427,7274,0.33365411053065713,2041,0.9269965703086722,115967.19457013575,701800,6.051711456859971
G06000104059,1990,California,4059,987,2067,24,2751,1473,1892,149,34,93,60,52,429,225,306,842,4847,2427,7274,0.33365411053065713,2041,0.9269965703086722,115967.19457013575,721000,6.217275520655514
G06000104060,1990,California,4060,601,782,52,1239,440,1081,107,12,158,74,195,117,107,129,396,2356,741,3097,0.2392638036809816,1188,0.9099326599326599,135340.9090909091,700400,5.175079764903443
G06000104061,1990,California,4061,1075,304,62,337,1629,919,77,0,47,0,38,26,97,167,621,2494,699,3193,0.21891637958033197,996,0.9226907630522089,84364.0350877193,809200,9.591765011697426
G06000104062,1990,California,4062,1368,2530,80,2324,2890,2483,215,59,85,48,77,356,492,393,1188,5320,3552,8872,0.4003606853020739,2698,0.9203113417346183,113343.02325581395,763300,6.73442421133624
G06000104062,1990,California,4062,1368,2530,80,2324,2890,2483,215,59,85,48,77,356,492,393,1188,5320,3552,8872,0.4003606853020739,2698,0.9203113417346183,113343.02325581395,731100,6.450330854065145
G06000104063,1990,California,4063,541,1616,33,789,579,1136,96,10,48,55,124,171,269,115,440,2845,704,3549,0.1983657368272753,1232,0.922077922077922,123629.24281984335,690100,5.582012671594509
G06000104064,1990,California,4064,775,795,37,481,185,668,22,0,22,40,17,27,104,92,388,1659,296,1955,0.1514066496163683,690,0.9681159420289855,172423.98648648648,835300,4.844453588048004
G06000104065,1990,California,4065,1336,1924,30,1270,1055,1805,121,46,32,79,181,243,252,322,771,4277,1272,5549,0.22923049198053702,1926,0.9371754932502596,127708.33333333333,743300,5.820293637846656
G06000104066,1990,California,4066,1802,2527,66,1957,436,2444,152,18,68,151,234,567,437,410,711,5801,969,6770,0.1431314623338257,2596,0.9414483821263482,136088.23529411765,742100,5.453079749297601
G06000104066,1990,California,4066,1802,2527,66,1957,436,2444,152,18,68,151,234,567,437,410,711,5801,969,6770,0.1431314623338257,2596,0.9414483821263482,136088.23529411765,859500,6.315755349038254
